# Construction AdditionalProperties
,0,1,2,3
construction_handle,{a5c3b9a4-9880-404d-9a27-fa10fb558a4c},{b898be60-183c-41ca-8d10-7d2d36a2049e},{2dc48553-2cc9-4d42-8392-6684462920ec},{571d5e7f-3517-4d08-a9af-f1575fa38b55}
rsmeans_unit_cost,2.85,5.5,0.95,2.25
rsmeans_total_cost,4275.0,4400.0,2375.0,2700.0
rsmeans_division_code,07,07,07,07
retrofit_material_unit,S.F.,S.F.,S.F.,S.F.
retrofit_material_quantity,1500.0,800.0,2500.0,1200.0
retrofit_material_name,rigid insulation,spray foam insulation,fiberglass batt insulation,mineral wool insulation
retrofit_material_description,"Extruded polystyrene (XPS) rigid insulation board, R-5 per inch, 2"" thick","Closed cell spray polyurethane foam insulation, 3.5"" thick","Unfaced fiberglass batt insulation, R-19, 6.25"" thick","Mineral wool (rock wool) rigid board insulation, 3"" thick"
operational_energy_savings_kwh_annual,8500.0,6200.0,12000.0,7500.0
operational_cost_savings_usd_annual,1020.0,744.0,1440.0,900.0
insulation_thickness_inches,2.0,3.5,6.25,3.0
insulation_r_value,10.0,21.0,19.0,12.0
embodied_carbon_kg_co2_total,2250.0,1920.0,1500.0,1680.0
embodied_carbon_kg_co2_per_unit,1.5,2.4,0.6,1.4

